driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
raikkonen,alfa,2020,13,imola,9,dry,permanent,Finished,TRUE
massa,williams,2014,18,interlagos,3,dry,permanent,Finished,TRUE
maldonado,lotus_f1,2014,9,silverstone,17,dry,permanent,+3 Laps,TRUE
gasly,alphatauri,2020,14,istanbul,13,wet,permanent,+1 Lap,TRUE
perez,racing_point,2019,13,spa,6,dry,permanent,Finished,TRUE
ricciardo,red_bull,2017,8,BAK,1,dry,street,Finished,TRUE
sainz,ferrari,2021,2,imola,5,wet,permanent,Finished,TRUE
hamilton,mercedes,2014,11,hungaroring,3,wet,permanent,Finished,TRUE
button,mclaren,2016,16,sepang,9,dry,permanent,Finished,TRUE
bottas,williams,2016,6,monaco,12,wet,street,+1 Lap,TRUE
raikkonen,ferrari,2016,17,suzuka,5,dry,permanent,Finished,TRUE
leclerc,ferrari,2020,10,sochi,6,dry,permanent,Finished,TRUE
albon,toro_rosso,2019,9,red_bull_ring,15,dry,permanent,+1 Lap,TRUE
russell,williams,2019,17,suzuka,16,dry,permanent,+2 Laps,TRUE
bottas,mercedes,2017,16,suzuka,4,dry,permanent,Finished,TRUE
tsunoda,alphatauri,2021,19,interlagos,15,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2016,20,interlagos,10,wet,permanent,Finished,TRUE
kevin_magnussen,haas,2019,12,hungaroring,13,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2015,19,yas_marina,14,dry,permanent,+1 Lap,TRUE
button,mclaren,2015,14,suzuka,16,dry,permanent,+1 Lap,TRUE
grosjean,haas,2018,12,hungaroring,10,dry,permanent,+1 Lap,TRUE
hulkenberg,renault,2019,15,marina_bay,9,dry,street,Finished,TRUE
hamilton,mercedes,2016,17,suzuka,3,dry,permanent,Finished,TRUE
perez,force_india,2017,9,red_bull_ring,7,dry,permanent,+1 Lap,TRUE
alonso,mclaren,2017,15,sepang,11,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2020,8,monza,7,dry,permanent,Finished,TRUE
russell,williams,2019,19,americas,17,dry,permanent,+2 Laps,TRUE
norris,mclaren,2021,7,ricard,5,dry,permanent,Finished,TRUE
bottas,williams,2015,3,shanghai,6,dry,permanent,Finished,TRUE
leclerc,ferrari,2021,1,bahrain,6,dry,permanent,Finished,TRUE
max_verstappen,red_bull,2019,5,catalunya,3,dry,permanent,Finished,TRUE
grosjean,haas,2018,15,marina_bay,15,dry,permanent,+1 Lap,TRUE
sainz,ferrari,2021,22,yas_marina,3,dry,permanent,Finished,TRUE
gasly,alphatauri,2020,5,silverstone,11,dry,permanent,Finished,TRUE
bottas,mercedes,2020,13,imola,2,dry,permanent,Finished,TRUE
norris,mclaren,2019,10,silverstone,11,dry,permanent,Finished,TRUE
hamilton,mercedes,2020,6,catalunya,1,dry,permanent,Finished,TRUE
kvyat,toro_rosso,2016,13,spa,14,dry,permanent,Finished,TRUE
bottas,mercedes,2018,12,hungaroring,5,dry,permanent,Finished,TRUE
bottas,williams,2016,14,monza,6,dry,permanent,Finished,TRUE
hamilton,mercedes,2015,5,catalunya,2,dry,permanent,Finished,TRUE
alonso,ferrari,2014,17,americas,6,dry,permanent,Finished,TRUE
sainz,toro_rosso,2016,20,interlagos,6,wet,permanent,Finished,TRUE
raikkonen,ferrari,2018,8,ricard,3,dry,permanent,Finished,TRUE
ericsson,sauber,2016,5,catalunya,12,dry,permanent,+1 Lap,TRUE
hamilton,mercedes,2017,17,americas,1,dry,permanent,Finished,TRUE
latifi,williams,2020,15,bahrain,14,dry,permanent,+1 Lap,TRUE
vettel,aston_martin,2021,19,interlagos,11,dry,permanent,+1 Lap,TRUE
perez,racing_point,2019,10,silverstone,17,dry,permanent,+1 Lap,TRUE
perez,force_india,2015,18,interlagos,12,dry,permanent,+1 Lap,TRUE
kvyat,toro_rosso,2019,11,hockenheimring,3,wet,permanent,Finished,TRUE
rosberg,mercedes,2016,2,bahrain,1,dry,permanent,Finished,TRUE
russell,williams,2021,7,ricard,12,dry,permanent,+1 Lap,TRUE
raikkonen,alfa,2019,9,red_bull_ring,9,dry,permanent,+1 Lap,TRUE
raikkonen,ferrari,2014,10,hockenheimring,11,dry,permanent,+1 Lap,TRUE
kevin_magnussen,renault,2016,17,suzuka,14,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2016,20,interlagos,3,wet,permanent,Finished,TRUE
